,Unnamed: 0,Location_id,POI_id,POI_Type,Org_id,User_id,TimeStamp,Zone,Latitude,Longitude,Category,yelp_id,name,stars,Time,Date,Local_sg_time,L2_id
4847,4847,1249,2102,Combined,4b3ffa5df964a5206ab325e3,521,Mon Jul 08 19:28:01 +0000 2013,-360,51.044827,-114.068849,Coffee Shop,6umdBLNv5DFCoGxjnH6Ajg,Starbucks,4,19:28:01,2013708,08/07/2013 19:28,1
4850,4850,1218,1218,Independent,4b2836ecf964a520019124e3,521,Mon Jul 08 19:28:36 +0000 2013,-360,51.044533,-114.063019,American Restaurant,bwpvo0hDKzHzZoak0vFqBQ,Ruth's Chris Steak House,4,19:28:36,2013708,08/07/2013 19:28,34
4853,4853,1160,2103,Combined,4b0586eaf964a520147522e3,521,Mon Jul 08 22:52:29 +0000 2013,-360,51.051997,-114.069843,American Restaurant,XbyGwD2UtQNov8MnJOv7pQ,Flower & Wolf,4.5,22:52:29,2013708,08/07/2013 22:52,34
4854,4854,1161,2103,Combined,4b0586ecf964a520ca7522e3,521,Mon Jul 08 22:52:33 +0000 2013,-360,51.05217,-114.069634,Pub,WLEneu6YVE_qM4NGXj2Ddg,The Barley Mill,3.5,22:52:33,2013708,08/07/2013 22:52,16
4858,4858,1180,1180,Independent,4b0b597bf964a520a93023e3,521,Tue Jul 09 18:09:19 +0000 2013,-360,51.049681,-114.069102,Steakhouse,kunLUCRIhzyZrxJQ5b-Mbw,The Keg Steakhouse + Bar - Calgary,3.5,18:09:19,2013709,09/07/2013 18:09,39
4859,4859,1182,1182,Independent,4b31484cf964a520df0325e3,521,Tue Jul 09 18:09:39 +0000 2013,-360,51.049652,-114.069732,Coffee Shop,RquAcUUATxCkOlaqoUcVJg,Starbucks,3.5,18:09:39,2013709,09/07/2013 18:09,1
4861,4861,1184,1184,Independent,4fc53a9be4b0d6790edafada,521,Tue Jul 09 21:44:09 +0000 2013,-360,51.049365,-114.069418,Bar,kJyVvFj0Jl1lS2Z7mi9pJw,Spur Gastropub,3,21:44:09,2013709,09/07/2013 21:44,22
4812,4812,1219,2104,Combined,4b22926ef964a520444924e3,521,Wed Jul 10 00:48:23 +0000 2013,-360,51.04536,-114.062805,American Restaurant,LlJn7Q7Ow0lwQpk4gg0KeQ,Milestones,3.5,00:48:23,2013710,10/07/2013 00:48,34
4865,4865,1224,2104,Combined,4b0586ebf964a520997522e3,521,Wed Jul 10 00:48:44 +0000 2013,-360,51.045534,-114.062617,American Restaurant,Flb_GvJ8d4UR2JuHyHlFzA,Thomsons Restaurant,3.5,00:48:44,2013710,10/07/2013 00:48,34
4866,4866,541,541,Independent,4c689ece428a0f47dd8d001b,521,Wed Jul 10 01:09:03 +0000 2013,-360,51.037998,-114.087712,Pizza Place,i6IwLa77KFAJ8ZhAdK6u6w,Boston Pizza,2.5,01:09:03,2013710,10/07/2013 01:09,29
4870,4870,1109,1109,Independent,4fec61ace4b008df5dc9029e,521,Wed Jul 10 17:11:53 +0000 2013,-360,51.045404,-114.077451,Caf,W-aLwZKWgmied8UsUOYhPg,Timothy's World Coffee,2,17:11:53,2013710,10/07/2013 17:11,50
4871,4871,1107,1107,Independent,4b0586e8f964a520577422e3,521,Wed Jul 10 17:12:21 +0000 2013,-360,51.04506,-114.07634,Bar,n9txQRF6TuOs8CnEQCuWNg,Soho Bar & Grill,3.5,17:12:21,2013710,10/07/2013 17:12,22
5013,5013,1100,1100,Independent,4b0586e6f964a520a87322e3,521,Tue Aug 20 11:52:33 +0000 2013,-360,51.047071,-114.080872,Hotel,5x-h1vryKFRAuvLJFbSYuA,Sandman Hotel Calgary City Centre,2,11:52:33,2013820,20/08/2013 11:52,15
5020,5020,1100,1100,Independent,4b0586e6f964a520a87322e3,521,Thu Aug 22 12:38:19 +0000 2013,-360,51.047071,-114.080872,Hotel,5x-h1vryKFRAuvLJFbSYuA,Sandman Hotel Calgary City Centre,2,12:38:19,2013822,22/08/2013 12:38,15
5021,5021,1101,1101,Independent,4b1eb46ef964a520281e24e3,521,Thu Aug 22 12:38:49 +0000 2013,-360,51.047388,-114.08086,Coffee Shop,j2Ig_jtAflSrJCZwTFU62g,Tim Hortons,4,12:38:49,2013822,22/08/2013 12:38,1
5027,5027,1102,1102,Independent,4b05aa23f964a5208ce022e3,521,Fri Aug 23 13:32:16 +0000 2013,-360,51.04711,-114.080675,Restaurant,#NAME?,Moxie's Grill & Bar,3.5,13:32:16,2013823,23/08/2013 13:32,21
5088,5088,1181,1181,Independent,4b0586e6f964a5209f7322e3,521,Thu Sep 12 22:15:37 +0000 2013,-360,51.04996,-114.06965,Hotel,fbbO2vNsYPhi11Se7T95lQ,The Westin Calgary,3.5,22:15:37,2013912,12/09/2013 22:15,15
637,637,1079,1079,Independent,4bda86b52a3a0f476060abb6,700,Mon Jun 11 14:01:01 +0000 2012,-360,51.046356,-114.051987,Hostel,QjfxI1bCofojlO4FSgpLbQ,HI-Calgary City Centre,2.5,14:01:01,2012611,11/06/2012 14:01,103
638,638,1207,1207,Independent,4b21a170f964a520373f24e3,700,Mon Jun 11 14:01:32 +0000 2012,-360,51.046256,-114.056676,Light Rail,gvx8rtsk9VMjCv8sTCm04A,City Hall LRT Station,3.5,14:01:32,2012611,11/06/2012 14:01,5
3074,3074,87,2219,Combined,508adb21e4b0578944b9372e,939,Fri Jan 18 17:09:39 +0000 2013,300,50.930549,-114.029554,Department Store,XaL-KFkk49j29C9ZYbJiSQ,Walmart,3.5,17:09:39,2013118,18/01/2013 17:09,3
3380,3380,405,405,Independent,4b15508cf964a520c3b023e3,1228,Thu Feb 14 05:53:41 +0000 2013,-420,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5,05:53:41,2013214,14/02/2013 05:53,55
3726,3726,405,405,Independent,4b15508cf964a520c3b023e3,2846,Thu Mar 14 05:28:54 +0000 2013,-360,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5,05:28:54,2013314,14/03/2013 05:28,55
4031,4031,405,405,Independent,4b15508cf964a520c3b023e3,2846,Thu Apr 11 00:20:00 +0000 2013,-360,51.037535,-114.051733,Stadium,fAczVm0LU-mmIPRz1VIIYA,Scotiabank Saddledome,3.5,00:20:00,2013411,11/04/2013 00:20,55
1215,1215,390,390,Independent,4b7a0f40f964a5203f212fe3,3302,Wed Jul 18 00:48:27 +0000 2012,-360,51.037913,-114.09349,Pub,T1HrlHN5mbT2WGtcfzaf4A,1410 World Bier Haus,3,00:48:27,2012718,18/07/2012 00:48,16
1262,1262,733,733,Independent,4b0f3c4bf964a520ad6023e3,3302,Wed Jul 18 16:34:58 +0000 2012,-360,51.105117,-114.161128,Coffee Shop,dVoKcnphWwvv2WPZqLRpKw,Starbucks,3.5,16:34:58,2012718,18/07/2012 16:34,1
1264,1264,531,531,Independent,4b05ad3ff964a520d2e022e3,3302,Wed Jul 18 18:56:39 +0000 2012,-360,51.037868,-114.083204,Vegetarian / Vegan Restaurant,9tgJbLfCQcZ35-TSabZOfA,The Coup,4,18:56:39,2012718,18/07/2012 18:56,11
1269,1269,539,539,Independent,4b482ecaf964a520a24926e3,3302,Fri Jul 20 14:31:23 +0000 2012,-360,51.037604,-114.087231,Coffee Shop,9IuXO57P9EszEhn-SnzgfA,Tim Hortons,2,14:31:23,2012720,20/07/2012 14:31,1
4852,4852,359,2216,Combined,4e0f8758b61c3fe4780e7408,3481,Mon Jul 08 22:17:31 +0000 2013,-360,51.00003,-114.073094,Clothing Store,3CoHXsCzSejNwMqNZLaoEA,Tory Burch,4,22:17:31,2013708,08/07/2013 22:17,40
4857,4857,138,138,Independent,4fc2c1afe4b00baac731734e,3481,Tue Jul 09 00:39:30 +0000 2013,-360,50.916258,-113.960406,Pizza Place,t43tq66jU-sLXA-TVgKxrg,Famoso Pizzeria,4,00:39:30,2013709,09/07/2013 00:39,29
4864,4864,732,732,Independent,4d59e913c88da1cdf0773f68,3481,Wed Jul 10 00:06:54 +0000 2013,-360,51.105111,-114.162101,Sushi Restaurant,#NAME?,Kinjo Sushi,4,00:06:54,2013710,10/07/2013 00:06,48
4867,4867,734,734,Independent,4af8ceccf964a520141022e3,3481,Wed Jul 10 01:36:00 +0000 2013,-360,51.104972,-114.160789,Bookstore,B8PJGWiQ4ki0Zobu_OsJMg,Indigo,4,01:36:00,2013710,10/07/2013 01:36,46
5187,5187,182,182,Independent,4b9a998ef964a52036c535e3,3629,Sat May 05 11:17:35 +0000 2012,-360,50.95114,-114.002194,Fast Food Restaurant,VY7glXpgWYpGR03xJ03otw,McDonald's,2.5,11:17:35,2012505,05/05/2012 11:17,13
5156,5156,1207,1207,Independent,4b21a170f964a520373f24e3,3629,Sat May 05 12:23:19 +0000 2012,-360,51.046256,-114.056676,Light Rail,gvx8rtsk9VMjCv8sTCm04A,City Hall LRT Station,3.5,12:23:19,2012505,05/05/2012 12:23,5
5199,5199,1236,2102,Combined,4b68b6d1f964a520b8882be3,3629,Sat May 05 21:40:26 +0000 2012,-360,51.046493,-114.069757,Drugstore / Pharmacy,x6SbQhXbsczTIg5bDQ3vQA,Shopper's Drug Mart,2.5,21:40:26,2012505,05/05/2012 21:40,2
5225,5225,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Mon May 07 11:42:13 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,11:42:13,2012507,07/05/2012 11:42,13
5244,5244,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Tue May 08 11:44:15 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,11:44:15,2012508,08/05/2012 11:44,13
5269,5269,908,908,Independent,4b3038faf964a520f4f724e3,3629,Tue May 08 22:02:52 +0000 2012,-360,51.081867,-113.990926,Paper / Office Supplies Store,tSIdcUvKCivHxHj6JOjlig,Staples Calgary N.E.,3,22:02:52,2012508,08/05/2012 22:02,77
5270,5270,899,899,Independent,4b1ddc07f964a520f51524e3,3629,Tue May 08 22:06:10 +0000 2012,-360,51.079882,-113.987948,Strip Club,NUGXuxdv3ef0XGqNsoU4qg,CatHouse,2.5,22:06:10,2012508,08/05/2012 22:06,63
5276,5276,865,2207,Combined,4b77037df964a52085742ee3,3629,Tue May 08 23:00:09 +0000 2012,-360,51.072853,-113.985438,Sporting Goods Shop,#NAME?,Sport Chek - Sunridge Mall,2.5,23:00:09,2012508,08/05/2012 23:00,30
5325,5325,1094,1094,Independent,4ec74ff493ad41338ca9361e,3629,Thu May 10 18:18:15 +0000 2012,-360,51.045025,-114.081407,Strip Club,R0TiQjTK-IuAq75bTLw0dw,Boudoir Rouge,2.5,18:18:15,2012510,10/05/2012 18:18,63
5328,5328,883,883,Independent,4b4f9d73f964a520a90d27e3,3629,Thu May 10 20:20:33 +0000 2012,-360,51.077565,-113.989935,Hardware Store,MBs2gCAN10240RyryZOKcw,Rona Home & Garden,3,20:20:33,2012510,10/05/2012 20:20,6
5329,5329,883,883,Independent,4b4f9d73f964a520a90d27e3,3629,Fri May 11 21:36:59 +0000 2012,-360,51.077565,-113.989935,Hardware Store,MBs2gCAN10240RyryZOKcw,Rona Home & Garden,3,21:36:59,2012511,11/05/2012 21:36,6
5350,5350,884,884,Independent,4b75f725f964a520ba322ee3,3629,Fri May 11 21:37:43 +0000 2012,-360,51.079304,-113.9906,Grocery Store,pih0Ql0yOcVbLUI9eovGIA,Costco Wholesale,4,21:37:43,2012511,11/05/2012 21:37,0
5390,5390,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Sat May 12 21:03:28 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,21:03:28,2012512,12/05/2012 21:03,13
5434,5434,182,182,Independent,4b9a998ef964a52036c535e3,3629,Sun May 13 11:09:03 +0000 2012,-360,50.95114,-114.002194,Fast Food Restaurant,VY7glXpgWYpGR03xJ03otw,McDonald's,2.5,11:09:03,2012513,13/05/2012 11:09,13
5391,5391,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Sun May 13 21:15:47 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,21:15:47,2012513,13/05/2012 21:15,13
5392,5392,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Mon May 14 11:42:06 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,11:42:06,2012514,14/05/2012 11:42,13
5393,5393,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Mon May 14 21:37:41 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,21:37:41,2012514,14/05/2012 21:37,13
5394,5394,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Tue May 15 21:18:51 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,21:18:51,2012515,15/05/2012 21:18,13
5395,5395,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Wed May 16 11:43:56 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,11:43:56,2012516,16/05/2012 11:43,13
5522,5522,899,899,Independent,4b1ddc07f964a520f51524e3,3629,Wed May 16 20:54:17 +0000 2012,-360,51.079882,-113.987948,Strip Club,NUGXuxdv3ef0XGqNsoU4qg,CatHouse,2.5,20:54:17,2012516,16/05/2012 20:54,63
5531,5531,873,873,Independent,4bbbca9851b89c7445b9862a,3629,Wed May 16 23:17:41 +0000 2012,-360,51.077187,-113.987746,Electronics Store,5Ucdnd5HY78JICUMSqsmFQ,Future Shop,1.5,23:17:41,2012516,16/05/2012 23:17,10
5523,5523,899,899,Independent,4b1ddc07f964a520f51524e3,3629,Thu May 17 21:16:39 +0000 2012,-360,51.079882,-113.987948,Strip Club,NUGXuxdv3ef0XGqNsoU4qg,CatHouse,2.5,21:16:39,2012517,17/05/2012 21:16,63
5569,5569,1258,2102,Combined,4baa6368f964a52081653ae3,3629,Fri May 18 20:52:36 +0000 2012,-360,51.045729,-114.071125,Electronics Store,XZVrxLpCm2XOlNhzJ_bHqA,iPhix,1.5,20:52:36,2012518,18/05/2012 20:52,10
5570,5570,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Fri May 18 21:15:03 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,21:15:03,2012518,18/05/2012 21:15,13
5571,5571,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Sat May 19 05:48:21 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,05:48:21,2012519,19/05/2012 05:48,13
5602,5602,1257,2102,Combined,4b996721f964a520e07835e3,3629,Sat May 19 18:02:59 +0000 2012,-360,51.04605,-114.070942,Fast Food Restaurant,rz3AeZZ-U5SoqeyNknz2TA,Villa Madina,3,18:02:59,2012519,19/05/2012 18:02,13
5572,5572,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Sat May 19 18:28:32 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,18:28:32,2012519,19/05/2012 18:28,13
5623,5623,182,182,Independent,4b9a998ef964a52036c535e3,3629,Mon May 21 11:15:08 +0000 2012,-360,50.95114,-114.002194,Fast Food Restaurant,VY7glXpgWYpGR03xJ03otw,McDonald's,2.5,11:15:08,2012521,21/05/2012 11:15,13
5624,5624,1206,1206,Independent,4b264781f964a520c47924e3,3629,Mon May 21 12:18:40 +0000 2012,-360,51.045201,-114.056631,City Hall,BdQ_EJBlZY1t-6mCbULOIA,City Hall and Municipal Complex,3,12:18:40,2012521,21/05/2012 12:18,47
5573,5573,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Mon May 21 20:45:18 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,20:45:18,2012521,21/05/2012 20:45,13
5641,5641,1214,1214,Independent,4b0586e9f964a520c27422e3,3629,Mon May 21 21:18:27 +0000 2012,-360,51.04447,-114.062977,Monument / Landmark,5XXFsXKdPxCwHUuw2FeYpg,Calgary Tower,3.5,21:18:27,2012521,21/05/2012 21:18,115
155,155,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Tue May 22 11:41:34 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,11:41:34,2012522,22/05/2012 11:41,13
156,156,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Wed May 23 21:12:52 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,21:12:52,2012523,23/05/2012 21:12,13
169,169,1101,1101,Independent,4b1eb46ef964a520281e24e3,3629,Fri May 25 18:37:36 +0000 2012,-360,51.047388,-114.08086,Coffee Shop,j2Ig_jtAflSrJCZwTFU62g,Tim Hortons,4,18:37:36,2012525,25/05/2012 18:37,1
215,215,1094,1094,Independent,4ec74ff493ad41338ca9361e,3629,Fri May 25 18:43:46 +0000 2012,-360,51.045025,-114.081407,Strip Club,R0TiQjTK-IuAq75bTLw0dw,Boudoir Rouge,2.5,18:43:46,2012525,25/05/2012 18:43,63
229,229,899,899,Independent,4b1ddc07f964a520f51524e3,3629,Fri May 25 22:43:25 +0000 2012,-360,51.079882,-113.987948,Strip Club,NUGXuxdv3ef0XGqNsoU4qg,CatHouse,2.5,22:43:25,2012525,25/05/2012 22:43,63
259,259,905,905,Independent,4bd0da6fb221c9b61796d4d0,3629,Sun May 27 03:53:00 +0000 2012,-360,51.077601,-113.980284,Ice Cream Shop,V0Yu08uva4NVy1yyXyPw9A,DQ Grill & Chill Restaurant,1.5,03:53:00,2012527,27/05/2012 03:53,72
275,275,1207,1207,Independent,4b21a170f964a520373f24e3,3629,Sun May 27 20:20:55 +0000 2012,-360,51.046256,-114.056676,Light Rail,gvx8rtsk9VMjCv8sTCm04A,City Hall LRT Station,3.5,20:20:55,2012527,27/05/2012 20:20,5
157,157,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Sun May 27 20:49:43 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,20:49:43,2012527,27/05/2012 20:49,13
165,165,180,180,Independent,4b0586e6f964a520cd7322e3,3629,Mon May 28 04:47:24 +0000 2012,-360,50.949148,-113.982706,Casino,aBaXV2pCWpf4PcUbGcrs3g,Deerfoot Inn & Casino,2.5,04:47:24,2012528,28/05/2012 04:47,8
276,276,1207,1207,Independent,4b21a170f964a520373f24e3,3629,Mon May 28 05:33:57 +0000 2012,-360,51.046256,-114.056676,Light Rail,gvx8rtsk9VMjCv8sTCm04A,City Hall LRT Station,3.5,05:33:57,2012528,28/05/2012 05:33,5
292,292,209,209,Independent,4b0586f0f964a520047722e3,3629,Mon May 28 19:26:38 +0000 2012,-360,50.989763,-114.097292,Hospital,lfNKrYIB8k_4KA8cQHyh1A,Rockyview General Hospital,4,19:26:38,2012528,28/05/2012 19:26,76
294,294,1239,2105,Combined,4b76ed79f964a5205f6b2ee3,3629,Mon May 28 21:48:43 +0000 2012,-360,51.045706,-114.067115,Fast Food Restaurant,LVbwNQX1FjdYvy7HighxIw,McDonald's,2,21:48:43,2012528,28/05/2012 21:48,13
